System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:06:38:536, 50977038759961,    0.105,   18.000, 3200,  14.658,   1.541,   0.428,  12.206,   1.283,   0.356, 53,  0,   0.959,   0.101,   0.028,   0.098,   0.010,   0.003,  30.000,  35.000,  60.000,  45.000,  45.000,   27,   4.749
17:06:38:646, 50977270811164,    0.215,   39.000, 3000,  13.978,   3.077,   0.855,  11.600,   2.558,   0.710, 53,  0,   1.450,   0.260,   0.072,   0.007,   0.011,   0.003,  30.000,  35.000,  60.000,  45.000,  45.000,  170,   0.000
17:06:38:755, 50977500602850,    0.324,   33.000, 3300,  16.892,   4.915,   1.365,  14.244,   4.107,   1.141, 54,  0,   1.207,   0.391,   0.109,   0.012,   0.012,   0.003,  30.000,  35.000,  60.000,  45.000,  45.000,    3,   0.090
17:06:38:865, 50977731675660,    0.433,   24.000, 3000,  17.093,   6.785,   1.885,  14.671,   5.713,   1.587, 56,  0,   1.120,   0.514,   0.143,   0.006,   0.013,   0.004,  30.000,  35.000,  60.000,  45.000,  45.000,    2,   0.000
17:06:38:981, 50977978129020,    0.550,   16.000, 3500,   9.727,   7.920,   2.200,   7.348,   6.570,   1.825, 56,  0,   0.882,   0.617,   0.171,   0.050,   0.019,   0.005,  30.000,  35.000,  60.000,  45.000,  45.000,    8,   1.442
17:06:39:091, 50978210091808,    0.660,   15.000, 3600,  11.717,   9.207,   2.557,   9.431,   7.606,   2.113, 57,  0,   0.763,   0.701,   0.195,   0.006,   0.019,   0.005,  30.000,  35.000,  60.000,  45.000,  45.000,    3,   0.000
17:06:39:201, 50978442686336,    0.770,   14.000, 3300,  12.867,  10.624,   2.951,  10.588,   8.772,   2.437, 56,  0,   0.771,   0.786,   0.218,   0.013,   0.021,   0.006,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.078
17:06:39:318, 50978688734462,    0.886,   19.000, 3500,  18.460,  12.774,   3.548,  16.099,  10.647,   2.958, 59,  0,   0.898,   0.890,   0.247,   0.005,   0.021,   0.006,  30.000,  35.000,  60.000,  45.000,  45.000,   13,   0.000
17:06:39:463, 50978995001266,    1.031,   16.000, 3700,  14.587,  14.890,   4.136,  12.319,  12.434,   3.454, 67,  0,   0.761,   1.001,   0.278,   0.004,   0.022,   0.006,  30.000,  35.000,  60.000,  45.000,  45.000,    0,   0.001
17:06:39:588, 50979260188816,    1.157,   22.000, 3400,  17.325,  17.065,   4.740,  14.918,  14.307,   3.974, 61,  0,   1.042,   1.131,   0.314,   0.014,   0.024,   0.007,  30.000,  35.000,  60.000,  45.000,  45.000,   36,   4.098
17:06:39:755, 50979611943270,    1.323,   32.000, 2900,  17.017,  19.899,   5.528,  14.571,  16.734,   4.648, 55,  0,   1.100,   1.315,   0.365,   0.008,   0.025,   0.007,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.066
17:06:39:865, 50979844630436,    1.434,   15.000, 3700,  11.135,  21.126,   5.868,   8.829,  17.707,   4.919, 58,  0,   0.833,   1.407,   0.391,   0.006,   0.026,   0.007,  30.000,  35.000,  60.000,  45.000,  45.000,    2,   0.000
17:06:39:975, 50980076562502,    1.543,   15.000, 3600,  18.023,  23.105,   6.418,  15.736,  19.435,   5.399, 64,  0,   0.771,   1.491,   0.414,   0.005,   0.026,   0.007,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.000
17:06:40:085, 50980308472876,    1.653,   15.000, 3500,  18.725,  25.161,   6.989,  16.391,  21.234,   5.898, 63,  0,   0.803,   1.579,   0.439,   0.020,   0.029,   0.008,  30.000,  35.000,  60.000,  45.000,  45.000,    3,   0.365
17:06:40:195, 50980540998156,    1.763,   15.000, 3500,  18.024,  27.146,   7.541,  15.713,  22.964,   6.379, 61,  0,   0.807,   1.668,   0.463,   0.013,   0.030,   0.008,  30.000,  35.000,  60.000,  45.000,  45.000,    2,   0.073
17:06:40:302, 50980768408503,    1.871,   16.000, 3700,  12.654,  28.508,   7.919,  10.352,  24.079,   6.689, 64,  0,   0.832,   1.758,   0.488,   0.007,   0.031,   0.009,  30.000,  35.000,  60.000,  45.000,  45.000,   16,   0.000
17:06:40:428, 50981033227228,    1.996,   28.000, 3000,  12.331,  30.055,   8.348,   9.884,  25.318,   7.033, 54,  0,   1.160,   1.903,   0.529,   0.004,   0.031,   0.009,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.000
17:06:40:538, 50981265819630,    2.107,   52.000, 2900,  16.914,  31.917,   8.866,  13.854,  26.844,   7.457, 56,  0,   2.443,   2.172,   0.603,   0.175,   0.051,   0.014,  30.000,  35.000,  60.000,  45.000,  45.000,   22,   4.422
17:06:40:684, 50981574447401,    2.253,   41.000, 2900,  14.331,  34.011,   9.448,  11.375,  28.506,   7.918, 55,  0,   2.431,   2.528,   0.702,   0.006,   0.052,   0.014,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.000
17:06:40:805, 50981830884590,    2.374,   38.000, 2900,  16.947,  36.069,  10.019,  13.891,  30.193,   8.387, 58,  0,   2.714,   2.857,   0.794,   0.012,   0.053,   0.015,  30.000,  35.000,  60.000,  45.000,  45.000,   46,   1.526
