System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:01:14:727, 6508914326046,    0.110,   27.000, 2400,  12.971,   1.422,   0.395,   9.090,   0.997,   0.277, 59,  0,   2.144,   0.235,   0.065,   1.073,   0.118,   0.033,  30.000,  35.000,  60.000,  45.000,  45.000,  244,  53.090
17:01:14:847, 6509168995718,    0.230,   22.000, 3100,  12.893,   2.977,   0.827,  10.412,   2.252,   0.626, 62,  0,   1.102,   0.368,   0.102,   0.028,   0.121,   0.034,  30.000,  35.000,  60.000,  45.000,  45.000,  448,  21.081
17:01:14:962, 6509411772704,    0.345,   16.000, 3100,   9.277,   4.043,   1.123,   6.904,   3.046,   0.846, 61,  0,   0.967,   0.479,   0.133,   0.012,   0.122,   0.034,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.059
17:01:15:072, 6509643738066,    0.455,   20.000, 3300,  13.155,   5.488,   1.525,  10.742,   4.226,   1.174, 63,  0,   0.956,   0.584,   0.162,   0.008,   0.123,   0.034,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.000
17:01:15:181, 6509872534946,    0.563,   15.000, 2900,   9.082,   6.472,   1.798,   6.698,   4.951,   1.375, 58,  0,   0.960,   0.688,   0.191,   0.014,   0.125,   0.035,  30.000,  35.000,  60.000,  45.000,  45.000,    3,   0.120
17:01:15:295, 6510114408650,    0.678,   14.000, 3000,   9.072,   7.511,   2.086,   6.606,   5.708,   1.586, 58,  0,   0.941,   0.796,   0.221,   0.081,   0.134,   0.037,  30.000,  35.000,  60.000,  45.000,  45.000,   18,   3.380
17:01:15:405, 6510345861870,    0.787,   14.000, 3000,  10.689,   8.682,   2.412,   8.317,   6.619,   1.839, 59,  0,   0.902,   0.895,   0.249,   0.013,   0.136,   0.038,  30.000,  35.000,  60.000,  45.000,  45.000,    3,   0.121
17:01:15:526, 6510601341032,    0.908,   12.000, 3600,  12.623,  10.209,   2.836,  10.324,   7.868,   2.186, 64,  0,   0.772,   0.988,   0.275,   0.006,   0.136,   0.038,  30.000,  35.000,  60.000,  45.000,  45.000,  128,   0.000
17:01:15:664, 6510894565422,    1.047,   16.000, 3000,  12.635,  11.964,   3.323,  10.283,   9.296,   2.582, 58,  0,   0.921,   1.116,   0.310,   0.010,   0.138,   0.038,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.048
17:01:15:774, 6511126673364,    1.157,   14.000, 2900,  10.580,  13.126,   3.646,   8.138,  10.190,   2.831, 59,  0,   1.004,   1.226,   0.341,   0.033,   0.141,   0.039,  30.000,  35.000,  60.000,  45.000,  45.000,    7,   1.017
17:01:15:884, 6511358216454,    1.267,   15.000, 3100,  10.745,  14.304,   3.973,   8.333,  11.104,   3.084, 66,  0,   0.924,   1.328,   0.369,   0.041,   0.146,   0.040,  30.000,  35.000,  60.000,  45.000,  45.000,    9,   1.387
17:01:15:995, 6511591830708,    1.377,   12.000, 3300,   9.558,  15.362,   4.267,   7.257,  11.906,   3.307, 65,  0,   0.806,   1.417,   0.394,   0.007,   0.146,   0.041,  30.000,  35.000,  60.000,  45.000,  45.000,  125,   0.000
17:01:16:105, 6511823939916,    1.487,   21.000, 3400,  15.560,  17.072,   4.742,  13.160,  13.353,   3.709, 68,  0,   1.010,   1.528,   0.424,   0.007,   0.147,   0.041,  30.000,  35.000,  60.000,  45.000,  45.000,    0,   0.000
