System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:41:36:546, 55408094790392,    0.117,   30.000, 3000,  10.195,   1.192,   0.331,   7.252,   0.848,   0.236, 55,  0,   1.576,   0.184,   0.051,   0.359,   0.042,   0.012,  30.000,  35.000,  60.000,  45.000,  45.000,   80,  16.496
17:41:36:656, 55408326375369,    0.227,   31.000, 3100,  14.634,   2.797,   0.777,  12.100,   2.175,   0.604, 59,  0,   1.310,   0.328,   0.091,   0.008,   0.043,   0.012,  30.000,  35.000,  60.000,  45.000,  45.000,  185,   0.000
17:41:36:763, 55408552034121,    0.333,   18.000, 3500,  11.421,   4.017,   1.116,   9.037,   3.140,   0.872, 63,  0,   0.963,   0.431,   0.120,   0.013,   0.044,   0.012,  30.000,  35.000,  60.000,  45.000,  45.000,    3,   0.112
17:41:36:873, 55408783977856,    0.443,   26.000, 3700,  13.469,   5.496,   1.527,  11.027,   4.351,   1.209, 69,  0,   1.138,   0.556,   0.154,   0.007,   0.045,   0.012,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.000
17:41:36:983, 55409015832750,    0.553,   21.000, 3400,  12.469,   6.865,   1.907,  10.034,   5.453,   1.515, 60,  0,   1.031,   0.669,   0.186,   0.007,   0.046,   0.013,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.000
17:41:37:092, 55409247758574,    0.663,   16.000, 3600,  13.459,   8.343,   2.318,  11.004,   6.661,   1.850, 66,  0,   0.947,   0.773,   0.215,   0.099,   0.057,   0.016,  30.000,  35.000,  60.000,  45.000,  45.000,   18,   3.632
17:41:37:216, 55409509809412,    0.787,   26.000, 3300,  12.916,   9.946,   2.763,  10.421,   7.954,   2.210, 61,  0,   1.252,   0.928,   0.258,   0.012,   0.058,   0.016,  30.000,  35.000,  60.000,  45.000,  45.000,    2,   0.085
17:41:37:327, 55409742691726,    0.897,   13.000, 3600,  13.828,  11.471,   3.186,  11.524,   9.225,   2.563, 70,  0,   0.746,   1.011,   0.281,   0.006,   0.059,   0.016,  30.000,  35.000,  60.000,  45.000,  45.000,    2,   0.000
17:41:37:437, 55409974598190,    1.007,   19.000, 3400,  18.001,  13.447,   3.735,  15.629,  10.941,   3.039, 63,  0,   0.954,   1.115,   0.310,   0.006,   0.059,   0.017,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.000
17:41:37:593, 55410305473685,    1.164,   27.000, 3200,  15.127,  15.817,   4.394,  12.725,  12.935,   3.593, 65,  0,   0.972,   1.268,   0.352,   0.014,   0.062,   0.017,  30.000,  35.000,  60.000,  45.000,  45.000,    3,   0.315
