System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:01:50:019, 6583450586124,    0.117,   18.000, 2800,   9.895,   1.158,   0.322,   7.398,   0.866,   0.241, 61,  0,   1.037,   0.121,   0.034,   0.076,   0.009,   0.002,  30.000,  35.000,  60.000,  45.000,  45.000,   18,   3.122
17:01:50:129, 6583683650464,    0.227,   15.000, 2900,   9.165,   2.170,   0.603,   6.770,   1.613,   0.448, 58,  0,   0.968,   0.228,   0.063,   0.014,   0.010,   0.003,  30.000,  35.000,  60.000,  45.000,  45.000,    3,   0.113
17:01:50:251, 6583941008436,    0.349,   21.000, 3100,  11.182,   3.532,   0.981,   8.768,   2.682,   0.745, 62,  0,   1.033,   0.354,   0.098,   0.008,   0.011,   0.003,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.000
17:01:50:361, 6584173711652,    0.459,   13.000, 3200,   8.705,   4.492,   1.248,   6.342,   3.380,   0.939, 63,  0,   0.872,   0.450,   0.125,   0.025,   0.014,   0.004,  30.000,  35.000,  60.000,  45.000,  45.000,    6,   0.212
17:01:50:471, 6584406862534,    0.570,   14.000, 3000,  11.713,   5.785,   1.607,   9.289,   4.406,   1.224, 66,  0,   0.974,   0.558,   0.155,   0.037,   0.018,   0.005,  30.000,  35.000,  60.000,  45.000,  45.000,    9,   1.127
17:01:50:581, 6584638739426,    0.680,   15.000, 3100,  10.311,   6.917,   1.921,   7.909,   5.274,   1.465, 62,  0,   0.940,   0.661,   0.184,   0.006,   0.019,   0.005,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.000
17:01:50:688, 6584864506264,    0.787,   24.000, 3400,  11.676,   8.165,   2.268,   9.208,   6.258,   1.738, 65,  0,   1.166,   0.786,   0.218,   0.017,   0.021,   0.006,  30.000,  35.000,  60.000,  45.000,  45.000,    3,   0.117
17:01:50:814, 6585129363142,    0.912,   17.000, 3100,   8.302,   9.206,   2.557,   5.931,   7.002,   1.945, 62,  0,   0.895,   0.898,   0.249,   0.027,   0.024,   0.007,  30.000,  35.000,  60.000,  45.000,  45.000,    6,   0.987
17:01:50:923, 6585361554360,    1.022,   14.000, 3500,  14.323,  10.781,   2.995,  11.988,   8.320,   2.311, 69,  0,   0.817,   0.988,   0.274,   0.014,   0.026,   0.007,  30.000,  35.000,  60.000,  45.000,  45.000,    3,   0.122
17:01:51:038, 6585602858804,    1.136,   24.000, 2900,  13.614,  12.336,   3.427,  11.063,   9.584,   2.662, 63,  0,   1.247,   1.130,   0.314,   0.031,   0.029,   0.008,  30.000,  35.000,  60.000,  45.000,  45.000,    7,   0.982
17:01:51:173, 6585888408326,    1.271,   17.000, 3500,  10.925,  13.813,   3.837,   8.500,  10.734,   2.982, 67,  0,   1.041,   1.271,   0.353,   0.012,   0.031,   0.009,  30.000,  35.000,  60.000,  45.000,  45.000,    2,   0.096
